filename,wordcount,valence_min,valence_max,valence_avg,valence_std,extremity_min,extremity_max,extremity_avg,extremity_std,extremity_min_pos,extremity_max_pos,extremity_avg_pos,extremity_std_pos,extremity_min_neg,extremity_max_neg,extremity_avg_neg,extremity_std_neg,extremity_PosMinNeg,emotionality_min,emotionality_max,emotionality_avg,emotionality_std,emotionality_min_pos,emotionality_max_pos,emotionality_avg_pos,emotionality_std_pos,emotionality_min_neg,emotionality_max_neg,emotionality_avg_neg,emotionality_std_neg,emotionality_PosMinNeg,count_unique_evaluative_pos,count_total_evaluative_pos,count_unique_evaluative_neg,count_total_evaluative_neg,count_unique_evaluative,count_total_evaluative,count_evaluative_PosMinNeg,ambivalent,pos_dichotomous,certainty_min,certainty_max,certainty_avg,certainty_std,count_unique_certainty,count_total_certainty
article_011.txt,1071,0.76,7.79,4.703,2.849,0.89,3.74,2.68,0.797,1.76,3.29,2.643,0.59,0.89,3.74,2.724,1.027,-0.081,1.19,6.9,3.83,1.929,1.68,5.62,3.314,1.431,1.19,6.9,4.449,2.324,-1.135,6,12,9,10,15,22,2,1,,1.92,8.41,5.636,1.618,37,40
article_012.txt,1436,0.71,8.22,4.432,2.442,0.09,3.79,2.144,1.11,0.7,3.72,2.352,1.05,0.09,3.79,1.979,1.157,0.373,1.19,7.21,3.706,1.743,1.58,7.07,3.846,1.846,1.19,7.21,3.595,1.7,0.251,11,15,18,19,29,34,-4,1,,1.92,8.28,5.852,1.624,43,49
article_013.txt,1271,0.96,7.48,4.948,2.76,0.18,3.54,2.544,0.929,2.18,2.98,2.618,0.315,0.18,3.54,2.445,1.444,0.173,1.69,7.17,3.513,1.853,1.69,4.87,2.79,1.339,1.93,7.17,4.477,2.113,-1.687,6,8,6,6,12,14,2,1,,1.92,8.28,6.106,1.634,25,31
article_014.txt,1435,0.64,8.36,4.638,2.675,0.38,3.86,2.435,1.007,0.7,3.86,2.306,1.013,0.38,3.86,2.599,1.022,-0.293,1.35,6.6,4.275,1.505,1.79,6.42,4.03,1.41,1.35,6.6,4.587,1.632,-0.557,13,14,11,11,24,25,3,1,,1.92,8.39,6.224,1.412,44,51
article_015.txt,1531,1.26,8.44,6.566,2.272,0.66,3.94,2.894,0.943,0.66,3.94,2.931,0.985,1.62,3.24,2.692,0.75,0.238,1.41,4.93,3.076,0.997,1.41,4.93,3.085,1.054,2.43,4,3.027,0.712,0.057,13,22,4,4,17,26,18,1,,1.92,8,6.141,1.276,42,53
article_016.txt,1059,0.86,7.6,3.733,2.495,0.18,3.64,2.376,0.974,0.47,3.1,2.146,1.022,0.18,3.64,2.514,0.953,-0.368,1.19,6.1,3.702,1.405,1.97,3.96,2.828,0.718,1.19,6.1,4.227,1.47,-1.399,8,9,15,15,23,24,-6,1,,1.92,8.24,5.974,1.467,34,38
article_017.txt,1401,0.7,8.36,4.728,2.725,0.7,3.86,2.552,0.841,0.7,3.86,2.78,0.951,1.58,3.8,2.324,0.675,0.456,1.19,8.03,4.329,1.938,1.66,8.03,5.062,2.015,1.19,7.65,3.595,1.612,1.467,11,13,10,13,21,26,0,1,,1.92,7.71,5.98,1.358,45,55
article_018.txt,1032,0.54,8.45,5.503,2.889,1.38,3.96,2.794,0.963,1.76,3.95,2.848,0.8,1.38,3.96,2.688,1.371,0.16,1.68,8.03,4.571,2.161,1.68,8.03,4.422,2.196,2.73,7.77,4.867,2.385,-0.445,8,8,4,4,12,12,4,1,,1.92,7.28,5.944,1.103,21,25
article_019.txt,1673,0.54,8.45,5.483,2.464,0.18,3.96,2.414,1.049,0.43,3.95,2.492,0.908,0.18,3.96,2.247,1.325,0.245,0.93,8.03,4.2,1.892,0.93,8.03,4.199,1.795,1.19,7.51,4.201,2.158,-0.001,23,30,13,14,36,44,16,1,,0.59,7.9,5.474,1.576,56,77
article_020.txt,1266,0.76,8.45,5.611,2.695,0.47,3.95,2.635,1.128,0.47,3.95,2.809,1.22,1.38,3.74,2.286,0.895,0.524,1.55,8.03,4.495,2.312,1.55,8.03,4.944,2.611,1.8,5.85,3.597,1.277,1.346,9,14,7,7,16,21,7,1,,1.1,8.17,5.681,1.872,38,41
